"context_config","mean","sd","median","n"
"fr_ru",33.7272247377262,29.1414114293333,25.2119361843498,3282
"es_fr",33.7051772941582,29.3838353551949,25.8486576978585,3896
"es_ru",33.5454240694982,29.3386935291415,24.8804694962536,3896
"es_id",33.4525941232483,29.175469788147,25.2435793181197,3896
"es_zh_cn",32.8595307761249,29.0740351625814,24.0785655451027,3896
"de_es",32.4452137572988,29.0128808598787,23.0203505487338,3896
"fr_zh_cn",32.0957947162116,28.8200299515155,23.35689888641,3896
"fr_id",31.8915535696446,28.5483594380252,23.462350320528,3896
"de_fr",31.6512499092838,28.5969400241555,22.7366981217885,3896
"de_ru",31.5637781266365,28.7114139540908,22.2755231320492,3896
"ru_zh_cn",31.5307745751192,28.6841488984468,22.1485074791403,3896
"id_ru",31.368840051473,28.5852408597701,22.3161806892666,3896
"es_vi",31.1925964454797,28.1941890650683,22.4169335019223,3896
"ru_vi",30.9283235114174,28.6720112407567,21.3643503198117,3896
"de_zh_cn",30.7151133676901,28.5382486099735,21.1053406318726,3896
"de_id",30.6220327133617,28.2941085861892,21.3643503198117,3896
"fr_vi",30.4481671862335,28.1183980722839,21.8841328489256,3896
"de_vi",30.1565363327049,28.1689669162611,21.25734791996,3896
"id_zh_cn",29.9773181764328,28.1794821586501,21.0224103813429,3896
"vi_zh_cn",29.3302316847878,27.801498026153,20.1580747539478,3896
"id_vi",28.5056536729884,27.5207776191724,19.6407325450257,3896
