projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,297,143,81,73,48.15,0.6076,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,297,168,58,71,56.57,0.6116,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,297,161,75,61,54.21,0.6769,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,297,147,92,58,49.49,0.6682,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,297,123,88,86,41.41,0.5653,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,297,117,93,87,39.39,0.5665,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,297,139,91,67,46.8,0.6272,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,297,173,56,68,58.25,0.6094,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,297,114,103,80,38.38,0.6067,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,297,132,100,65,44.44,0.6541,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,297,143,69,85,48.15,0.5567,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,297,166,62,69,55.89,0.6035,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,297,165,56,76,55.56,0.593,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,297,171,59,67,57.58,0.6143,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,297,126,80,91,42.42,0.5278,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,297,115,105,77,38.72,0.6355,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,297,137,91,69,46.13,0.6327,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,297,162,73,62,54.55,0.6619,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,297,163,73,61,54.88,0.6764,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,297,104,121,72,35.02,0.6413,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,297,158,77,62,53.2,0.6547,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,297,113,79,105,38.05,0.4692,Médio
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,297,172,52,73,57.91,0.6034,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,297,124,101,72,41.75,0.6351,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,297,114,100,83,38.38,0.5805,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,297,117,109,71,39.39,0.6388,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,ctx-1,297,96,132,69,32.32,0.6708,Grande
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,297,136,99,62,45.79,0.6684,Grande
