projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,262,96,51,115,36.64,0.3714,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,262,120,53,89,45.8,0.3917,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,262,143,46,73,54.58,0.5447,Grande
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,262,125,43,94,47.71,0.3973,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,262,152,42,68,58.02,0.5571,Grande
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,262,103,57,102,39.31,0.3585,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,262,139,50,73,53.05,0.5422,Grande
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,262,138,42,82,52.67,0.4572,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,262,107,47,108,40.84,0.2894,Pequeno
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.es.po.meta,ctx-1,262,162,41,59,61.83,0.6339,Grande
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,262,115,58,89,43.89,0.4353,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,262,106,52,104,40.46,0.3281,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,262,110,47,105,41.98,0.3156,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.id.po.meta,ctx-1,262,98,70,94,37.4,0.4145,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,262,141,38,83,53.82,0.4382,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,262,131,49,82,50.0,0.4793,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,262,128,47,87,48.85,0.4004,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,262,113,48,101,43.13,0.3007,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,262,156,43,63,59.54,0.5707,Grande
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,262,138,47,77,52.67,0.4507,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,262,133,42,87,50.76,0.3732,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,262,160,41,61,61.07,0.619,Grande
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,262,111,45,106,42.37,0.2861,Pequeno
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,262,131,48,83,50.0,0.4435,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,262,109,48,105,41.6,0.2952,Pequeno
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,262,136,41,85,51.91,0.4703,Médio
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,262,141,45,76,53.82,0.5157,Grande
