projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,7,2,2,3,28.57,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,7,4,2,1,57.14,0.7667,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,7,3,2,2,42.86,0.7028,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,7,2,2,3,28.57,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,7,2,3,2,28.57,0.6389,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,7,3,2,2,42.86,0.4472,Médio
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,7,2,2,3,28.57,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,7,3,2,2,42.86,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,7,4,2,1,57.14,0.8305,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,7,2,2,3,28.57,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,7,3,1,3,42.86,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.id.po.meta,ctx-1,7,3,2,2,42.86,0.575,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,7,3,3,1,42.86,0.7667,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,7,3,2,2,42.86,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,7,3,1,3,42.86,0.3194,Médio
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.es.po.meta,ctx-1,7,3,2,2,42.86,0.7028,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,7,2,4,1,28.57,0.8305,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.de.po.meta,ctx-1,7,2,3,2,28.57,0.7028,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,7,3,3,1,42.86,0.7667,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,7,2,3,2,28.57,0.7028,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,7,3,1,3,42.86,0.4472,Médio
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,7,3,1,3,42.86,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,7,3,2,2,42.86,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,7,3,2,2,42.86,0.5111,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,7,1,3,3,14.29,0.6389,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,7,2,3,2,28.57,0.575,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,7,2,3,2,28.57,0.7028,Grande
gtkspell_v3.0.7,gtkspell-3.0.7.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,7,3,2,2,42.86,0.7028,Grande
