projeto,experimento,nivel,n_segmentos,vitorias,empates,derrotas,taxa_vitoria_%,tamanho_efeito_r,impacto
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,94,49,24,21,52.13,0.6132,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,94,58,17,19,61.7,0.6711,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,94,55,21,18,58.51,0.6556,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,94,62,16,16,65.96,0.703,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,94,42,28,24,44.68,0.5891,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,94,60,13,21,63.83,0.6128,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,94,71,15,8,75.53,0.7777,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,94,69,13,12,73.4,0.7158,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,94,61,22,11,64.89,0.7151,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,94,52,24,18,55.32,0.6365,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,94,59,19,16,62.77,0.7178,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.de.po.meta,ctx-1,94,55,14,25,58.51,0.505,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,94,71,14,9,75.53,0.7489,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,94,63,15,16,67.02,0.6657,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,94,65,12,17,69.15,0.6206,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,94,60,19,15,63.83,0.705,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,94,59,16,19,62.77,0.6202,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,94,59,16,19,62.77,0.6501,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,94,55,18,21,58.51,0.6307,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,94,60,16,18,63.83,0.6633,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,94,62,15,17,65.96,0.7034,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,94,56,20,18,59.57,0.6793,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,94,61,17,16,64.89,0.7073,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,94,61,15,18,64.89,0.6692,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,94,59,20,15,62.77,0.6964,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,94,64,19,11,68.09,0.7361,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,94,50,21,23,53.19,0.5933,Grande
psmisc_v23.7-rc1,psmisc-23.7-rc1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,94,66,14,14,70.21,0.724,Grande
