project,arquivo,ctx_level,n,sw_stat,sw_p,sw_normal,ks_stat,ks_p,ks_normal,normal
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-0.po.meta,ctx-0,297,0.82195,0.0,False,0.183751,0.0,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.de.po.meta,ctx-1,297,0.824571,0.0,False,0.177219,0.0,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,297,0.866354,0.0,False,0.123529,0.000208,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,297,0.891384,0.0,False,0.133356,4.6e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,297,0.854574,0.0,False,0.164141,0.0,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,297,0.847492,0.0,False,0.144216,7e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,297,0.838456,0.0,False,0.168777,0.0,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,297,0.864239,0.0,False,0.148677,3e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,297,0.873092,0.0,False,0.135789,3.1e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,297,0.857756,0.0,False,0.14715,4e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,297,0.849452,0.0,False,0.155583,1e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,297,0.852384,0.0,False,0.151339,2e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,297,0.858979,0.0,False,0.159259,0.0,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,297,0.834563,0.0,False,0.182954,0.0,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,297,0.883483,0.0,False,0.122445,0.000244,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,297,0.885036,0.0,False,0.124727,0.000174,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,297,0.873583,0.0,False,0.12702,0.000123,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,297,0.884871,0.0,False,0.121367,0.000286,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,297,0.86855,0.0,False,0.132347,5.4e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,297,0.890073,0.0,False,0.124314,0.000185,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,297,0.894084,0.0,False,0.12515,0.000163,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,297,0.88999,0.0,False,0.130496,7.2e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,297,0.869768,0.0,False,0.13711,2.5e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,297,0.877163,0.0,False,0.139624,1.6e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,297,0.852547,0.0,False,0.151377,2e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,297,0.850599,0.0,False,0.153399,1e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,297,0.85394,0.0,False,0.146562,5e-06,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,297,0.871691,0.0,False,0.141905,1.1e-05,False,False
aspell_v0.60.8.1,aspell-0.60.8.1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,297,0.850688,0.0,False,0.153783,1e-06,False,False
