project,arquivo,ctx_level,n,sw_stat,sw_p,sw_normal,ks_stat,ks_p,ks_normal,normal
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-0.po.meta,ctx-0,262,0.798669,0.0,False,0.206582,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.es.po.meta,ctx-1,262,0.89039,0.0,False,0.126316,0.00042,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,262,0.862105,0.0,False,0.14259,4.1e-05,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.id.po.meta,ctx-1,262,0.791113,0.0,False,0.179073,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,262,0.841995,0.0,False,0.172114,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,262,0.795001,0.0,False,0.174692,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,262,0.810146,0.0,False,0.181578,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,262,0.844737,0.0,False,0.167241,1e-06,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,262,0.852176,0.0,False,0.164235,1e-06,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,262,0.791568,0.0,False,0.17802,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,262,0.837374,0.0,False,0.184351,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,262,0.85365,0.0,False,0.160446,2e-06,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,262,0.824977,0.0,False,0.197615,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,262,0.872241,0.0,False,0.133003,0.000168,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,262,0.839224,0.0,False,0.143147,3.8e-05,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,262,0.868932,0.0,False,0.152052,9e-06,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,262,0.840919,0.0,False,0.172458,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,262,0.880134,0.0,False,0.123441,0.000615,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,262,0.811961,0.0,False,0.17148,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,262,0.844188,0.0,False,0.171775,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,262,0.821276,0.0,False,0.174098,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,262,0.852445,0.0,False,0.15083,1.1e-05,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,262,0.781626,0.0,False,0.205037,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,262,0.783886,0.0,False,0.169978,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,262,0.790907,0.0,False,0.190908,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,262,0.806986,0.0,False,0.187724,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,262,0.835695,0.0,False,0.174686,0.0,False,False
diffutils_v3.10.242,diffutils-3.10.242.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,262,0.787473,0.0,False,0.194765,0.0,False,False
