project,arquivo,ctx_level,n,sw_stat,sw_p,sw_normal,ks_stat,ks_p,ks_normal,normal
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-0.po.meta,ctx-0,44,0.734589,0.0,False,0.232055,0.014462,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.de.po.meta,ctx-1,44,0.798692,3e-06,False,0.215459,0.028454,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,44,0.898119,0.000953,False,0.163166,0.171758,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,44,0.820111,8e-06,False,0.175168,0.118879,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,44,0.798167,3e-06,False,0.17933,0.10399,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,44,0.829657,1.4e-05,False,0.197624,0.055605,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,44,0.802017,3e-06,False,0.177941,0.108777,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,44,0.737495,0.0,False,0.254574,0.005311,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,44,0.86167,8.8e-05,False,0.192186,0.067412,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,44,0.83583,1.9e-05,False,0.177446,0.110527,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,44,0.824489,1e-05,False,0.173492,0.12535,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,44,0.791216,2e-06,False,0.230444,0.015479,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,44,0.764168,1e-06,False,0.259281,0.004256,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,44,0.755332,0.0,False,0.289355,0.000933,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,44,0.831628,1.5e-05,False,0.193461,0.064468,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,44,0.855274,6e-05,False,0.169941,0.139999,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,44,0.841227,2.6e-05,False,0.18543,0.084981,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,44,0.860141,8e-05,False,0.170225,0.138778,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,44,0.875193,0.000205,False,0.156932,0.205745,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,44,0.807869,4e-06,False,0.190981,0.070299,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,44,0.843105,2.9e-05,False,0.173065,0.127043,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,44,0.81296,6e-06,False,0.171292,0.134272,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,44,0.821155,9e-06,False,0.161636,0.179658,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,44,0.811131,5e-06,False,0.212163,0.032349,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,44,0.777536,1e-06,False,0.242343,0.009262,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,44,0.817094,7e-06,False,0.157446,0.202761,True,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,44,0.820124,8e-06,False,0.208345,0.037436,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,44,0.813951,6e-06,False,0.225434,0.019063,False,False
libiconv_v1.17-pre1,libiconv-1.17-pre1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,44,0.802488,3e-06,False,0.193902,0.063476,True,False
