project,arquivo,ctx_level,n,sw_stat,sw_p,sw_normal,ks_stat,ks_p,ks_normal,normal
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-0.po.meta,ctx-0,190,0.859518,0.0,False,0.143494,0.000707,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.de.po.meta,ctx-1,190,0.882596,0.0,False,0.16128,8.7e-05,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.es.po.meta,ctx-1,190,0.900005,0.0,False,0.146107,0.000528,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,190,0.858002,0.0,False,0.163711,6.4e-05,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.id.po.meta,ctx-1,190,0.894093,0.0,False,0.137258,0.001388,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,190,0.912543,0.0,False,0.10624,0.025408,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,190,0.868988,0.0,False,0.143971,0.000671,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,190,0.881834,0.0,False,0.142297,0.000807,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,190,0.871362,0.0,False,0.152192,0.000262,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,190,0.873942,0.0,False,0.145012,0.000597,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,190,0.879166,0.0,False,0.154106,0.000209,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,190,0.908274,0.0,False,0.118606,0.008718,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,190,0.870725,0.0,False,0.158979,0.000116,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,190,0.885698,0.0,False,0.127622,0.00371,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,190,0.863845,0.0,False,0.138319,0.00124,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,190,0.899427,0.0,False,0.148652,0.000395,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,190,0.885915,0.0,False,0.129121,0.003199,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,190,0.868205,0.0,False,0.139824,0.001056,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,190,0.870958,0.0,False,0.163786,6.4e-05,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,190,0.869153,0.0,False,0.159533,0.000108,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,190,0.866658,0.0,False,0.131936,0.00241,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,190,0.868118,0.0,False,0.147196,0.000467,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,190,0.875018,0.0,False,0.158127,0.000129,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,190,0.919356,0.0,False,0.104226,0.029907,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,190,0.849437,0.0,False,0.155429,0.000179,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,190,0.871032,0.0,False,0.15528,0.000182,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,190,0.904299,0.0,False,0.110496,0.017819,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,190,0.899539,0.0,False,0.122614,0.006009,False,False
man-db_v2.13.1-pre1,man-db-2.13.1-pre1.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,190,0.856366,0.0,False,0.16333,6.8e-05,False,False
