project,arquivo,ctx_level,n,sw_stat,sw_p,sw_normal,ks_stat,ks_p,ks_normal,normal
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-0.po.meta,ctx-0,542,0.920314,0.0,False,0.090544,0.000257,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.de.po.meta,ctx-1,542,0.916163,0.0,False,0.092804,0.000163,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.es.po.meta,ctx-1,542,0.923163,0.0,False,0.091368,0.000218,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.fr.po.meta,ctx-1,542,0.913772,0.0,False,0.098967,4.5e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.id.po.meta,ctx-1,542,0.913038,0.0,False,0.098018,5.5e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.ru.po.meta,ctx-1,542,0.905643,0.0,False,0.108823,5e-06,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.vi.po.meta,ctx-1,542,0.903713,0.0,False,0.104595,1.3e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-1.zh_CN.po.meta,ctx-1,542,0.915301,0.0,False,0.093726,0.000135,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.de-es.po.meta,ctx-2,542,0.924116,0.0,False,0.097809,5.8e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.de-fr.po.meta,ctx-2,542,0.915845,0.0,False,0.098423,5.1e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.de-id.po.meta,ctx-2,542,0.914146,0.0,False,0.099478,4e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.de-ru.po.meta,ctx-2,542,0.909149,0.0,False,0.108299,5e-06,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.de-vi.po.meta,ctx-2,542,0.909688,0.0,False,0.098866,4.6e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.de-zh_CN.po.meta,ctx-2,542,0.916787,0.0,False,0.098374,5.1e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.es-fr.po.meta,ctx-2,542,0.925892,0.0,False,0.08767,0.000449,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.es-id.po.meta,ctx-2,542,0.918587,0.0,False,0.10414,1.4e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.es-ru.po.meta,ctx-2,542,0.92238,0.0,False,0.104406,1.3e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.es-vi.po.meta,ctx-2,542,0.917922,0.0,False,0.096497,7.6e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.es-zh_CN.po.meta,ctx-2,542,0.919817,0.0,False,0.09753,6.1e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.fr-id.po.meta,ctx-2,542,0.90662,0.0,False,0.110157,3e-06,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.fr-ru.po.meta,ctx-2,542,0.910083,0.0,False,0.107858,6e-06,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.fr-vi.po.meta,ctx-2,542,0.91058,0.0,False,0.09618,8.1e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.fr-zh_CN.po.meta,ctx-2,542,0.916496,0.0,False,0.099033,4.4e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.id-ru.po.meta,ctx-2,542,0.910586,0.0,False,0.106289,9e-06,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.id-vi.po.meta,ctx-2,542,0.908494,0.0,False,0.103317,1.7e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.id-zh_CN.po.meta,ctx-2,542,0.906508,0.0,False,0.103575,1.6e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.ru-vi.po.meta,ctx-2,542,0.913181,0.0,False,0.106639,8e-06,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.ru-zh_CN.po.meta,ctx-2,542,0.913823,0.0,False,0.103217,1.8e-05,False,False
parted_v3.4.64.2,parted-3.4.64.2.pt_BR.llama.ctx-2.vi-zh_CN.po.meta,ctx-2,542,0.907486,0.0,False,0.103979,1.5e-05,False,False
