project,strategy,ctx_level,ctx_lang,bleu,baseline_bleu,delta,rank
aspell_v0.60.8.1,LLAMA,ctx-2,"ES, RU",34.34861393646538,22.370671111051493,11.977942825413884,1
aspell_v0.60.8.1,LLAMA,ctx-2,"ES, VI",33.2970563621302,22.370671111051493,10.926385251078706,2
aspell_v0.60.8.1,LLAMA,ctx-2,"ES, ID",33.28398050943532,22.370671111051493,10.913309398383824,3
aspell_v0.60.8.1,LLAMA,ctx-2,"FR, RU",32.720656539785246,22.370671111051493,10.349985428733753,4
aspell_v0.60.8.1,LLAMA,ctx-2,"ES, FR",32.65068216529558,22.370671111051493,10.280011054244085,5
aspell_v0.60.8.1,LLAMA,ctx-2,"FR, ID",32.3705869363431,22.370671111051493,9.999915825291609,6
aspell_v0.60.8.1,LLAMA,ctx-2,"ES, ZH_CN",31.813294389536733,22.370671111051493,9.44262327848524,7
aspell_v0.60.8.1,LLAMA,ctx-2,"FR, VI",31.767418412393457,22.370671111051493,9.396747301341964,8
aspell_v0.60.8.1,LLAMA,ctx-2,"RU, VI",30.923516392739803,22.370671111051493,8.55284528168831,9
aspell_v0.60.8.1,LLAMA,ctx-2,"DE, ES",29.494064250971235,22.370671111051493,7.123393139919742,10
aspell_v0.60.8.1,LLAMA,ctx-2,"ID, RU",29.220624684331565,22.370671111051493,6.849953573280072,11
aspell_v0.60.8.1,LLAMA,ctx-2,"DE, RU",28.774757984037137,22.370671111051493,6.404086872985644,12
aspell_v0.60.8.1,LLAMA,ctx-2,"DE, FR",28.535497027858828,22.370671111051493,6.1648259168073345,13
aspell_v0.60.8.1,LLAMA,ctx-2,"RU, ZH_CN",28.521716751511384,22.370671111051493,6.151045640459891,14
aspell_v0.60.8.1,LLAMA,ctx-2,"FR, ZH_CN",28.10884599628761,22.370671111051493,5.738174885236116,15
aspell_v0.60.8.1,LLAMA,ctx-2,"ID, ZH_CN",27.78246733768271,22.370671111051493,5.411796226631218,16
aspell_v0.60.8.1,LLAMA,ctx-2,"VI, ZH_CN",27.325374377886035,22.370671111051493,4.954703266834542,17
aspell_v0.60.8.1,LLAMA,ctx-2,"DE, VI",27.28788374239925,22.370671111051493,4.9172126313477555,18
aspell_v0.60.8.1,LLAMA,ctx-2,"ID, VI",26.772106692674043,22.370671111051493,4.40143558162255,19
aspell_v0.60.8.1,LLAMA,ctx-2,"DE, ID",26.425730196396177,22.370671111051493,4.055059085344684,20
