"contrast","estimate","SE","df","z.ratio","p.value"
"de_es - es_fr",-1.25996353685164,0.315576883254071,Inf,-3.99257234515888,0.00122288625450429
"de_fr - es_fr",-2.05392738487447,0.315576883254081,Inf,-6.5084849171946,1.5174049794453e-09
"de_id - es_fr",-3.08314458079659,0.315576883254081,Inf,-9.76986827743735,7.105427357601e-14
"de_ru - es_fr",-2.14139916752173,0.315576883254081,Inf,-6.78566549438167,2.31079044787919e-10
"de_vi - es_fr",-3.54864096145337,0.315576883254081,Inf,-11.2449331676688,1.15463194561016e-14
"de_zh_cn - es_fr",-2.99006392646819,0.315576883254081,Inf,-9.47491430815862,5.65103519534205e-14
"es_id - es_fr",-0.25258317090987,0.315576883254081,Inf,-0.800385529844108,0.983923064906645
"es_ru - es_fr",-0.159753224660097,0.315576883254081,Inf,-0.506226004302967,0.998602631639148
"es_vi - es_fr",-2.51258084867848,0.315576883254081,Inf,-7.96186597310273,1.23234755733392e-13
"es_zh_cn - es_fr",-0.845646518033312,0.315576883254081,Inf,-2.67968461223586,0.101416756780287
"fr_id - es_fr",-1.8136237245136,0.315576883254081,Inf,-5.74701069930207,1.81119464426338e-07
"fr_ru - es_fr",-0.795856240041534,0.315576883254081,Inf,-2.52190918369887,0.149159355014406
"fr_vi - es_fr",-3.25701010792479,0.315576883254081,Inf,-10.3208133445645,6.42819131257966e-14
"fr_zh_cn - es_fr",-1.60938257794668,0.315576883254081,Inf,-5.09981137195946,6.727837574938e-06
"id_ru - es_fr",-2.33633724268519,0.315576883254081,Inf,-7.40338524987627,2.69795297214159e-12
"id_vi - es_fr",-5.19952362116984,0.315576883254081,Inf,-16.4762499951036,0
"id_zh_cn - es_fr",-3.72785911772537,0.315576883254081,Inf,-11.8128396455578,0
"ru_vi - es_fr",-2.77685378274082,0.315576883254081,Inf,-8.79929402339995,4.9515946898282e-14
"ru_zh_cn - es_fr",-2.17440271903906,0.315576883254081,Inf,-6.89024714553755,1.11409548253505e-10
"vi_zh_cn - es_fr",-4.37494560937001,0.315576883254081,Inf,-13.863327263574,0
